id,city,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,fps_list,channel
2480,Augusta,GA,United States,USA,North America,33.4709714,-81.9748429,0.0,18899.0,329484123,12.7,0.0,170.0,38.5,41.4,0.0,"[XQlSwRt2ce4,Ie3Mi5cJ2sU,Wsc2LI8ZlcM]","[[0],[0],[0]]","[[0],[360],[0]]","[[1350],[2095],[2013]]","[0,0,0]","[1092022,10032025,23042022]","[30,30,30]","[UCmMbnl2PKbdGSpemsFfWjMg,UChB2qCCGbL79owHxCyQtoeQ,UCCWC63_fLObjdnextgUjC7A]"
2481,Giresun,,Türkiye,TUR,Asia,40.917923,38.384857,0.0,125682.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[Qv4Yw3vlqFg],[[0]],[[0]],[[4965]],[0],[04082024],[30],[UChhTjII3C37f8pK-iu23NGw]
2482,Pamukkale,,Türkiye,TUR,Asia,37.917659,29.118232,0.0,10000.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[MvF4NR2qUD0],[[0]],[[605]],[[675]],[0],[04092018],[30],[UCrtui1lOyE6wG6AK4cntNbA]
2483,Urla,,Türkiye,TUR,Asia,38.3228184,26.7672998,0.0,45199.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[ZLM4zuVQI1Q],[[0]],[[1877]],[[2859]],[0],[10042023],[30],[UCdF_JRL4Gc0HQsdWBrW7wKw]
2484,Van,,Türkiye,TUR,Asia,38.513788,43.390464,0.0,525016.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[DG4gpm6ZJro],[[0]],[[20]],[[828]],[0],[07112021],[30],[UCemelbTP3cPxCL2OQehRahw]
2485,Mêrdîn,,Türkiye,TUR,Asia,37.313656,40.73576,0.0,129864.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,"[SQPUj9WhJys,nb4zJXWURpM,SsKQIBbfifE,neo4RQaNDpg]","[[0,0],[0,0,0],[0],[0]]","[[68,1031],[216,392,435],[66],[7]]","[[969,1386],[346,428,616],[1639],[368]]","[0,0,0,0]","[2062021,4072020,30052021,19022021]","[30,30,30,30]","[UCLMQqAoaKBOIQP9Tqnm6njg,UC9pG3Lzx_orWG7ldZonViTw,UCLMQqAoaKBOIQP9Tqnm6njg,UCWHM7ByLdJjugpL_IYfvDyg]"
2486,İspir,,Türkiye,TUR,Asia,40.4833781,40.9999611,0.0,16248.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[NIhYO9REQzI],[[0]],[[630]],[[1670]],[0],[10082024],[30],[UChhTjII3C37f8pK-iu23NGw]
2487,Bulancak,,Türkiye,TUR,Asia,40.9389231,38.2318776,0.0,95436.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,"[hiuwv9E9XN8,NXp-uDV6Yxw,QZofovNz0Nk]","[[0],[0],[1]]","[[10],[0],[0]]","[[2862],[780],[1013]]","[0,0,0]","[23052024,26012024,23062022]","[30,30,30]","[UChhTjII3C37f8pK-iu23NGw,UC7uPvmZialoi9ERHAL0LxNQ,UC20vyRWEaC2GIS8DkmeRQaA]"
2488,Datça,,Türkiye,TUR,Asia,36.7263403,27.6873855,0.0,10121.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[sTlJ5NBoUgA],[[0]],[[0]],[[2499]],[0],[02052024],[30],[UChhTjII3C37f8pK-iu23NGw]
2489,Townsville,QLD,Australia,AUS,Oceania,-19.2569391,146.8239537,0.0,180820.0,25687041,4.9,0.0,172.0,37.9,34.4,0.0,"[0T8hXV7y-9o,mmfheouDfKY,j3ykpC5XD-Q,s2U07yYGMWs,PcPjc2oXTdE,t96DR4aKKZA]","[[1,1],[0],[0],[0],[1],[0,0]]","[[2,800],[2],[2],[2],[2],[2,900]]","[[693,1252],[2397],[1818],[1764],[1488],[112,1813]]","[0,0,0,0,0,0]","[20122024,20012023,10012023,7082023,11072025,9082023]","[30,30,30,30,30,30]","[UCrSx2M3EgKmeKIOUvYppzjw,UCrSx2M3EgKmeKIOUvYppzjw,UCrSx2M3EgKmeKIOUvYppzjw,UCrSx2M3EgKmeKIOUvYppzjw,UCrSx2M3EgKmeKIOUvYppzjw,UCrSx2M3EgKmeKIOUvYppzjw]"
2490,Batman,,Türkiye,TUR,Asia,37.888944,41.128674,0.0,452157.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[WDn24QHYJsg],[[0]],[[3963]],[[4941]],[0],[06032022],[30],[UCSkOoPMf7tRHfeR7LDTj1Tw]
2491,Ahmetli,,Türkiye,TUR,Asia,37.7523952,40.9459076,0.0,2061.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,[4g8uEtYOQcc],[[0]],[[501]],[[531]],[0],[30042021],[30],[UCVk3y0MHH7sbGSii-qAlsdQ]
2492,Manisa,,Türkiye,TUR,Asia,38.634036,27.427276,0.0,243971.0,84339067,6.7,97.0,169.0,33.6,41.9,0.0,"[cPkxAvn23wQ,Reg6DXWoh-4]","[[0],[0]]","[[0],[55]]","[[612],[928]]","[0,1]","[15042021,13032022]","[30,30]","[UCVk3y0MHH7sbGSii-qAlsdQ,UCRElcJTnPEiXWqzx7UmmjqA]"
2493,Kayseri,,Türkiye,TUR,Asia,38.726233,35.480345,0.0,1434357.0,84339067,6.7,97.0,169.0,33.6,41.9,15.38,[MZdXbMhc2vk],[[0]],[[0]],[[499]],[0],[17022025],[30],[UCanVy2-8xxmgVWt7cBBSXjg]
2494,Graz,,Austria,AUT,Europe,47.0708678,15.4382786,0.0,303270.0,8917205,4.9,0.0,173.0,44.8,30.8,0.0,"[OtlkVa-HRvQ,KFOEO85vUBo,WAVPRiFV5pA,B1Q-DEj0czE,Qb3KWTatgu4,fg8cqTG0jxk,_Vfska5VQhM,g0irrFanm7U,Jdc2cR9rTY8,53jmxG1gAh4]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[0],[120],[2],[9],[0],[0],[0],[0],[0],[0]]","[[1687],[1559],[540],[1255],[552],[527],[485],[521],[448],[532]]","[0,0,4,4,0,0,0,0,0,0]","[24082022,6012024,17092024,22112020,3112021,13022023,22062023,21092021,11042021,20112020]","[30,60,60,30,30,30,30,30,30,30]","[UCztGcObG-xm8sxX31OwKPdg,UCtNP3HfnQIZX9j9D12ek8VQ,UC6b9b_QHh5kXnjvx_M60R6A,UCpNuxCE1gi0Sesw0a9DHK4A,UCztGcObG-xm8sxX31OwKPdg,UCztGcObG-xm8sxX31OwKPdg,UCztGcObG-xm8sxX31OwKPdg,UCztGcObG-xm8sxX31OwKPdg,UCztGcObG-xm8sxX31OwKPdg,UCztGcObG-xm8sxX31OwKPdg]"
2495,Linz,,Austria,AUT,Europe,48.306263,14.28669,0.0,204846.0,8917205,4.9,0.0,173.0,44.8,30.8,0.0,"[3X9lWaD5wqo,ro1ngTUB4wM,te7bcL7Rw70]","[[0],[0],[0]]","[[0],[32],[0]]","[[648],[1099],[518]]","[0,0,0]","[25062023,28012022,30042022]","[30,60,60]","[UCnACiEs-ATKaHazmzVHGarw,UCuEWmCGd4_nKQnC3VUuNxPg,UCaAlrRQ1jgTEVht2-zcCTCg]"
2496,Klagenfurt am Wörthersee,,Austria,AUT,Europe,46.623943,14.3075976,0.0,100316.0,8917205,4.9,0.0,173.0,44.8,30.8,26.67,"[J_Xi1ialIRA,p7RkIQCUwtQ,Cn90X9hU4jI]","[[0],[0],[0]]","[[0],[0],[2880]]","[[313],[600],[4555]]","[0,0,0]","[31102019,20102022,5052023]","[60,30,30]","[UC9-aRJ25O7SzkDjiG571AYQ,UCS925g2ZDenWUWsIZ_u9mtw,UCS925g2ZDenWUWsIZ_u9mtw]"
2497,Bergschenhoek,,Netherlands,NLD,Europe,51.98934,4.5016775,0.0,16579.0,16655799,4.0,0.0,177.0,42.2,28.1,0.0,[IECzHsDFUpc],"[[1,0,0]]","[[1449,1526,1847]]","[[1525,1788,3006]]",[0],[11012024],[30],[UCv82azuWXLXq4vHm30gYO6g]
2498,Rosmalen,,Netherlands,NLD,Europe,51.71866,5.3629244,0.0,31219.0,16655799,4.0,0.0,177.0,42.2,28.1,0.0,[EnE1iH-b1LE],[[0]],[[2917]],[[3097]],[0],[08112022],[25],[UCv82azuWXLXq4vHm30gYO6g]
2499,Dordrecht,,Netherlands,NLD,Europe,51.81221151832372,4.690004172060575,0.0,119260.0,16655799,4.0,0.0,177.0,42.2,28.1,0.0,[7geMAbXQSIw],[[0]],[[5174]],[[5422]],[0],[13092021],[30],[UCqC5jUVyBEGSJAQ9jmDzUdg]
2500,Amstelveen,,Netherlands,NLD,Europe,52.306379,4.858013,0.0,79639.0,16655799,4.0,0.0,177.0,42.2,28.1,18.92,[AHZisgpnyDQ],[[0]],[[7]],[[610]],[0],[03062021],[25],[UCSLBUGtW5BogV_ewodaFdYw]
2501,Wassenaar,,Netherlands,NLD,Europe,52.1425779,4.4012224,0.0,25353.0,16655799,4.0,0.0,177.0,42.2,28.1,21.88,[AHZisgpnyDQ],[[0]],[[2421]],[[3159]],[0],[03062021],[25],[UCSLBUGtW5BogV_ewodaFdYw]
2502,Overpelt,,Belgium,BEL,Europe,51.2156208,5.4241897,0.0,13344.0,11555997,5.8,0.0,171.0,41.9,27.2,0.0,[XbQjlvXFqa4],[[0]],[[2040]],[[2223]],[0],[30012022],[25],[UCUUPDaFc0ENkfBIJhCfGmdg]
2503,Postel,,Belgium,BEL,Europe,51.2874865,5.1897863,0.0,0.0,11555997,5.8,0.0,171.0,41.9,27.2,0.0,[XbQjlvXFqa4],[[0]],[[3899]],[[4035]],[0],[30012022],[25],[UCUUPDaFc0ENkfBIJhCfGmdg]
2504,Reusel,,Netherlands,NLD,Europe,51.4570627,5.177021,0.0,7055.0,16655799,4.0,0.0,177.0,42.2,28.1,0.0,[XbQjlvXFqa4],[[0]],[[4455]],[[4771]],[0],[30012022],[25],[UCUUPDaFc0ENkfBIJhCfGmdg]
2505,Bladel,,Netherlands,NLD,Europe,51.3712108,5.2346306,0.0,9785.0,16655799,4.0,0.0,177.0,42.2,28.1,0.0,[XbQjlvXFqa4],[[1]],[[5035]],[[5134]],[0],[30012022],[25],[UCUUPDaFc0ENkfBIJhCfGmdg]
2506,Maasmechelen,,Belgium,BEL,Europe,50.9634179,5.6960212,0.0,36251.0,11555997,5.8,0.0,171.0,41.9,27.2,28.21,[PKVUJ3enTG4],[[0]],[[34]],[[676]],[0],[23072023],[30],[UCOTHroU_ihkXAlkIQ-1WfIg]
2507,Rumst,,Belgium,BEL,Europe,51.0792853,4.4240472,0.0,14521.0,11555997,5.8,0.0,171.0,41.9,27.2,13.16,[joM1XYBGEU0],[[0]],[[105]],[[346]],[2],[17022025],[30],[UCZk6EvSqg1PQmn5CXYA7eRg]
2508,Liege,,Belgium,BEL,Europe,50.644236,5.571559,0.0,195278.0,11555997,5.8,0.0,171.0,41.9,27.2,0.0,[WjqPGBpiI9Y],[[0]],[[400]],[[1425]],[0],[01082017],[30],[UC9WjkHGPg4G4im5muv8fNLg]
2509,Mechelen,,Belgium,BEL,Europe,51.0281381,4.4803453,0.0,77530,11555997,5.8,0.0,171,41.9,27.2,0.0,[chdjfqBBO1U],[[0]],[[0]],[[1488]],[0],[27032020],[30],[UCGb-TLjeNZtxh01wSXA2TFw]
