id,city,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,fps_list,channel
1,Toronto,ON,Canada,CAN,North America,43.6534817,-79.3839347,349.201,2600000.0,38005238.0,5.3,99.0,171.7,42.4,31.7,139.4,"[3ai7SUaPoHM,lmLWoDdQgtQ,oAsf9lqI1E4,iwD2qmNcm6k,qBH_yfaRqRw,q2vQ9woF8EQ,Ih1i-wzVP80,_e0RQL7NJZg,9mecWLY_MC4,tQtUvSZiZGg,STbVEZMJdC0,mtz_eM73GS0,85WR7ShMImc,zqK4JD8jTRI,M90zqeXFxOU,Zbm0Z6nw5sE,dNtnPFCrBso,Cmp39Cd3t7I,uythoULSBqc,8EuKqdYIXrI,AfsK9ppIUxU,Gv93gllQhw8,yUfB6DgPuhU,YDV0-0MDhpI,9dFMrpQea4w,ZspPA8fgAwI,5dMD26Orh38,Z3F-9JY3fb0,50Uf_T12OGY,KCPpnNRgOg8,ZCvpq5VklP0,8WKPEiVNX-c,ODLXf2NGjI0,a3ZTrLWuRDA,JlDfyApwes0,-q4HsMWnIrU,zZZTEQOOfoM,YRZvZuzx1Iw,KRtnTJKAqas,GnwVp7dAeFA,7FyLjTGYogU,6qYAIRf4D-I,52RJf5MAQFY,9qEihHqoDoM,ITBPp9q2I9w]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0,0],[0,0],[0,0,0],[0,0],[0],[0],[0],[0,0],[0],[0],[1],[0,0],[0],[1],[0]]","[[27],[25],[25],[27],[26],[26],[25],[25],[25],[25],[25],[18],[41],[1589],[12],[33],[28],[1810],[22],[24],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[6177,7514,7737],[41,1990],[235,1580,2688],[0,1678],[0],[0],[0],[30,828],[0],[0],[23],[22,960],[22],[26],[23]]","[[3250],[2134],[2256],[2335],[2275],[2618],[2148],[2505],[2204],[2409],[2354],[5002],[5194],[2716],[3141],[4344],[3643],[2559],[5079],[2255],[743],[729],[497],[602],[310],[347],[604],[706],[1265],[427],[7045,7589,9275],[740,2520],[1309,2145,3115],[1660,2030],[637],[611],[1813],[760,1520],[2562],[1729],[2654],[226,1269],[1578],[3106],[3200]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[29082023,3042024,19032024,28022024,27012024,30122023,9122023,25112023,14112023,24102023,7102023,25082023,3082024,21082023,19082023,10122019,15082019,30072019,16072019,19062019,13092016,20082016,14082016,10082016,5082016,31072016,19072016,17072016,12072016,9072016,24102024,7072022,24102022,26052023,4112023,5112023,31072023,13042014,1102016,10062024,25032024,30102023,26102023,14092023,7092023]","[30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UC6cQrbnMQU_a78Hrm3RmYVw,UC8MpuxpR-TXNZb0ZLbaaZuQ,UCABUl4EQVgBuNJejCHR8xLQ,UCt6XvZwio6Aph_gHeChn4aA,UCt6XvZwio6Aph_gHeChn4aA,UCt6XvZwio6Aph_gHeChn4aA,UCFyaOiTBlITV6HfAC2xKaMg,UCvfCRrPnr6JtDKtWeUwXUyA,UCZKfcQoSHvLMCJL1MHCbhZg,UCk0xpfrrpSZJF1qJtIun4hg,UCk0xpfrrpSZJF1qJtIun4hg,UCk0xpfrrpSZJF1qJtIun4hg,UCk0xpfrrpSZJF1qJtIun4hg,UCk0xpfrrpSZJF1qJtIun4hg,UCk0xpfrrpSZJF1qJtIun4hg]"
2,Jakarta,,Indonesia,IDN,Asia,-6.175394,106.827183,323.03,8540121.0,273523621.0,11.3,96.0,160.3,31.2,36.1,191.4,"[gmDBzijaIAA,1pVb62M-RLI,AppxCYZbyLo,x6Dxv-rNbaw,CwJQXjiXtRE,3ekXQoPqgjI]","[[0],[0],[0],[0],[0],[0]]","[[29],[0],[0],[0],[0],[34]]","[[2968],[868],[570],[641],[806],[2738]]","[0,0,0,0,0,0]","[22122023,11092024,10092024,10092024,25082024,11012024]","[30,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCp_MPgF5Zy9KUSSEJhv38Qg,UCp_MPgF5Zy9KUSSEJhv38Qg,UCp_MPgF5Zy9KUSSEJhv38Qg,UCp_MPgF5Zy9KUSSEJhv38Qg,UCBcVQr-07MH-p9e2kRTdB3A]"
3,Manila,,Philippines,PHL,Asia,14.590622,120.97997,162.3,1600000.0,109581085.0,12.0,96.0,159.6,25.4,40.7,177.9,"[JY-Xyiept88,z6EGkbnUxSQ,2tfyoN70EHo,F7heBWT2QVM,IhmOCrdAdfA,ct0xmT226Kk,pp8Nz5yvft4,Z2cV43H0WHM,0PGzvVw8R00,wwVA_jA1uAQ,BxU8j0RcsRg,A6oTbgZ512o,DATXRwzTDa0]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[43],[25],[49],[28],[0],[0],[0],[12],[8],[12],[5],[7],[10]]","[[4844],[3437],[4896],[3600],[527],[449],[409],[1605],[820],[4286],[1603],[1470],[1622]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[4122023,12032022,17012024,29112023,11052019,25032016,11052019,11082022,23082022,24082022,24082022,11082024,4012025]","[30,30,30,30,30,30,30,30,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCJHQMhs2laCyxEEOxKeiviA,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw,UCVi4G2bO4cc4xMYciWv4IIw]"
4,Sydney,,Australia,AUS,Oceania,-33.8698439,151.2082848,398.037,5231147.0,25687041.0,4.9,99.0,171.7,37.9,34.3,163.0,"[wMu6Va5PhGY,jTyfIV2wres,_fxg06j8SNY,nHr0xATCG6M,c8_3MOnkmYg,g_JpzvbivK4,FO5fob8rKXY,SrvXvT_jhDI,gtn3vErIXvg,U1N_32C5HrU,UAbJptYf7f8,Z4WoVwgIymw,ImcOwKwf7kE,q21Kj-pxJW4]","[[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[41],[10],[30],[90],[60],[0],[0],[24],[0],[0],[0],[0],[0],[23]]","[[3040],[2362],[2172],[2419],[1200],[659],[1439],[1054],[960],[886],[1080],[1591],[771],[4098]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[24112023,18042022,30012024,12072023,8112022,27102022,21102022,18102022,14102022,6102022,28092022,26092022,14092022,21112023]","[30,30,30,30,30,30,30,30,30,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCiW8NERmFBX4QQYuvkfyvyg,UCBcVQr-07MH-p9e2kRTdB3A,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UC51lW3MBhABPEMHtPj0pfeQ,UCBcVQr-07MH-p9e2kRTdB3A]"
5,Melbourne,,Australia,AUS,Oceania,-37.814218,144.963161,318.677,4917750.0,25687041.0,4.9,99.0,171.7,37.9,34.3,163.0,"[81n46krHrQA,gQ-9mmnfJjE,u_9_W9H04Ds,vhn1Y4BdRTM,lIziwOj5bjs,zUBJ0_X0kzw,z4htt-TfFvs,hZuBirep6cA,c7f7C3m8FNw,jYC9LnY07Ic,FyFH9wI2LY0,KfXM62BZq_w,sGXRaUVPnrw,L1W8r5GOCj4,HnKvw8m50Go,90KvAN4mYBE,4otU7KJEsL0,8iNGvHpZRMw,Q_GZ-0gblE8,xOpxaCBSiIw,Sjiw-1zMgrs,pCsMWqWwFPE]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0],[0]]","[[42],[0],[25],[25],[25],[10],[45],[150],[33],[0],[0],[0],[30],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[2964],[1835],[1665],[1498],[2046],[2480],[1500],[4000],[3589],[1300],[1357],[1141],[476],[534],[573],[485],[977],[510],[711],[1207],[1080],[824]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[10112023,23012021,27042024,25042024,6042024,27102021,8112021,31032022,16112023,2032023,17062025,21062025,27112024,9012025,9062025,11062025,11062025,12062025,15062025,18062025,19062025,22062025]","[30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCiW8NERmFBX4QQYuvkfyvyg,UCiW8NERmFBX4QQYuvkfyvyg,UCiW8NERmFBX4QQYuvkfyvyg,UCiW8NERmFBX4QQYuvkfyvyg,UCc98TiiVl28m5JgcVAkBW2w,UCc98TiiVl28m5JgcVAkBW2w,UCc98TiiVl28m5JgcVAkBW2w,UCBcVQr-07MH-p9e2kRTdB3A,UCpARJ73eS85DXM7izezCQwg,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ,UC1MuANg4NCCga1W-Zl848vQ]"
6,Cincinnati,OH,United States,USA,North America,39.1014537,-84.5124602,186.141,309317.0,329484123.0,12.7,86.0,170.1,38.5,41.3,151.1,"[G1I_PlmL_YA,G3SVBflqEjI,2TKhfRIb0Hg,4OftD5ni7XA]","[[0],[0],[0],[0]]","[[78],[0],[0],[0]]","[[2729],[300],[420],[1116]]","[0,0,0,0]","[13092023,22092016,22092016,19032015]","[30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
7,Brisbane,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3,163.0,[9pPBmcKvFOc],[[0]],[[23]],[[2922]],[0],[02112023],[30],[UCBcVQr-07MH-p9e2kRTdB3A]
8,Monaco,,Monaco,MCO,Europe,43.738418,7.424616,6.816,32965.0,39244.0,5.5,99.0,180.0,56.2,27.5,84.43,"[ij6xccYYIuE,1oAR3mVJmww,tp3mSn9B6SY,HGk2D7t7SMA,VWM02zJLYvY,lYniyR3aU_g,Xs6HbiKCFZ0,0Jlebs29SOc]","[[1],[1],[0],[1],[1],[1],[0],[0]]","[[22],[46],[38],[44],[29],[0],[0],[3659]]","[[1875],[2915],[3111],[2917],[1956],[1428],[1541],[4500]]","[0,0,0,0,0,0,0,0]","[29062021,6022025,31102024,28102024,4052022,13092021,9092021,20112024]","[30,30,30,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCk0xpfrrpSZJF1qJtIun4hg,UCk0xpfrrpSZJF1qJtIun4hg,UCcwGwvM5iPB9IvtTnMTVcEg]"
9,Milan,,Italy,ITA,Europe,45.4641943,9.1896346,233.596,1371498.0,59554023.0,5.3,99.0,168.1,48.1,34.8,125.3,"[ZByZSqoqzaI,sUEOso36Hzk,iu9XjZuA1HE,I56HOvnoYMQ,9IoroeGhXtg,fNCesoSwj6A,408tDCkG4ZE,ZXr5EZdnfIo]","[[0],[0],[0],[0],[0],[1],[0],[0,0]]","[[18],[105],[7],[342],[20],[17],[25],[105,4490]]","[[3333],[4260],[2736],[3229],[287],[2623],[2580],[1679,4657]]","[0,0,0,0,0,0,0,0]","[4082022,9072022,20092019,28112022,12082022,10082022,18062021,24112022]","[30,24,24,30,30,30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UC_V2-rK2e97fZNCQUDGO7zA,UC_V2-rK2e97fZNCQUDGO7zA,UCOG_imhDwtvT4Bxy4J_vItg,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCk0xpfrrpSZJF1qJtIun4hg]"
10,Kuala Lumpur,,Malaysia,MYS,Asia,3.151696,101.694237,59.831,1453975.0,32365998.0,22.5,83.0,163.1,31.4,40.7,170.2,"[AxQcSoA9vGQ,ePVXT8qOhJY,NBUMGTGFbM0]","[[0],[0],[0]]","[[23],[27],[26]]","[[3140],[3087],[2459]]","[0,0,0]","[3012024,27012024,12122023]","[30,30,30]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
