id,city,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,time_of_day
19,Tokyo,Tokyo,Japan,JPN,"[FSH2lLSvspA,621663RJm6w,pO_A8ljeObQ,HTdXFXv7WR0,wcBPl1BdiCw,fnJqSQQXgk0,GauYw99e5C4,nLU4EudhjTw,mD79NxvLB2U,MK4JhdvIcSs,BHuNcCaY1Lo,LSt-Udsr4JM,Mmsif0PUMDQ,TGV7lwMf_tE,jPVqe4trAiY,xCxkVjm1j7Y,tO8c8OpMhxM,VcxTLhIWdeU,4mQf0_v4m_g,bHzzeWJTI94,KY-oRMPFmUo,WJ4hmWTR2oY,lFjSXlM3a6Y,9RFwuoR2lAQ,FBE2MsvoskQ,78ZeSjUpuDg,ioo-BpaTTDw,T5oAesSK7ZI,cfSTIqDAvQk,9HAaCIktyaM,4ABe_zv8zpU,Ic_AYv3FKMI]","[[23], [0], [0], [17], [12], [22], [23], [18], [28], [32], [32], [33], [28, 1340], [22], [32], [860, 3260], [32, 1688, 2102, 3765], [20], [126], [90, 1702, 4003], [0], [42], [0], [12], [245], [33], [23], [56], [551], [0], [0, 637, 2265], [12530], [27], [27, 2882], [24], [0, 1655, 4189], [140], [0, 2953], [0], [0], [0], [20], [23], [20, 3128], [20], [20, 1516], [12], [845, 1615], [13, 2983], [12, 1204, 2786], [12], [22], [17], [17, 535], [17], [5], [2], [2], [2], [2], [5], [1]]","[[2310], [3907], [2138], [2169], [2979], [3050], [2171], [2230], [3090], [1956], [1896], [3792], [60, 1480], [844], [2481], [2684, 5300], [1281, 2094, 3403, 5859], [1379], [1270], [999, 3688, 5185], [2566], [94], [4812], [4620], [1430], [3461], [1114], [580], [1253], [1629], [252, 1704, 2718], [12766], [394], [1782, 5190], [380], [1004, 4040, 6683], [1275], [2705, 4089], [2112], [2771], [2327], [1252], [2517], [1650, 3485], [622], [565, 1567], [2507], [1555, 2550], [2862, 3350], [295, 1356, 3250], [1174], [525], [2922], [32, 2843], [77], [1065], [570], [1945], [1809], [2000], [3232], [1846]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[24032023,14042023,29072023,29032023,4032023,30012023,28012023,16052020,11052020,3012020,17122019,29112019,19112019,31102019,23102019,23122024,22072024,9082020,24092023,4022021,6112023,5042025,15102021,8102021,25082022,16092022,1092022,11092022,21072022,17052017,23082017,6012025,26082024,8082024,10112023,28112023,6092024,6092024,25042016,25042016,24012021,7062019,7022025,31012025,27122024,30112024,5012024,6102023,29092023,26082023,26112022,26022022,12022022,27112021,2102021,5062020,17042020,6032020,20122019,9122019,15082019,7092018]","[[0], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0, 0], [0], [0], [1, 1], [0, 0, 0, 0], [0], [0], [0, 0, 0], [0], [1], [0], [0], [0], [1], [1], [0], [1], [0], [0, 0, 0], [1], [0], [0, 1], [0], [0, 0, 0], [0], [0, 1], [0], [0], [0], [0], [1], [0, 0], [0], [0, 0], [0], [0, 0], [0, 0], [0, 0, 0], [0], [0], [0], [0, 0], [0], [0], [0], [0], [0], [0], [0], [0]]"
22,Buenos Aires,,Argentina,ARG,[MYOj8ckqVuQ],"[[33], [0], [0], [32], [0], [25], [22, 469], [0], [8], [384], [0], [50, 2394], [0], [0], [1985], [18], [22]]","[[2948], [36053], [36160], [4917], [1685], [1343], [240, 1650], [1980], [1503], [3760], [1831], [695, 2506], [5232], [4165], [3300], [4295], [5478]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[28042020,31072022,1082022,19022020,13022021,8022021,18032024,13042025,15042024,10092023,3032022,1042023,12052025,7042025,8042023,15042023,18082025]","[[0], [0], [1], [1], [0], [0], [0, 0], [0], [0], [0], [1], [0, 0], [0], [0], [1], [0], [0]]"
43,Paris,,France,FRA,"[CON0NIubHpk,cOFtMlB9HpY,DXAzg0lBaaE,Y-8QdFVmR6c]","[[31], [15], [152], [0], [22], [22], [22], [22], [17], [26], [22], [31], [36], [31], [1], [22], [25], [23, 3853], [23], [0, 1996], [0], [0], [88], [0], [38, 346, 616, 965, 1646], [0], [28, 1355], [11, 2683], [17], [0, 1010, 1702, 3544], [24, 2001], [5]]","[[2252], [2291], [7920], [2126], [1957], [2146], [2641], [3585], [2065], [3317], [1832], [3127], [1997], [2107], [1933], [4309], [1029], [3852, 6007], [5397], [1995, 3051], [2784], [2636], [4170], [1799], [344, 600, 960, 1645, 2521], [1301], [1354, 2405], [2155, 3384], [455], [539, 1586, 3467, 6199], [2000, 3449], [1322]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[20122019,22082022,8082024,19102022,10112022,19072022,16072022,13072022,28062022,20032019,1022019,11012019,30122018,25122018,19122018,13042023,7112022,10102022,15092022,28082021,26082021,26082021,6082021,9072021,10072023,11092019,26062023,8042024,13082023,27102022,4092023,15092022]","[[0], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [1], [0, 1], [1], [0, 1], [0], [1], [0], [0], [0, 0, 0, 0, 0], [0], [0, 0], [0, 0], [0], [0, 0, 0, 0], [0, 1], [0]]"
77,Vancouver,BC,Canada,CAN,"[cLmWYfxHJM0,a3IhnPxU9S0]","[[76], [88], [30], [22], [0], [788], [0], [0], [0], [39], [21], [533], [18]]","[[3240], [2711], [2766], [4515], [2153], [1593], [1353], [1590], [690], [2008], [3660], [2543], [1908]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[28092023,14022025,2022025,29012025,18012016,26022022,31052022,24122021,19042025,17072025,21072025,28072025,24072025]","[[0], [0], [0], [1], [0], [0], [0], [1], [0], [1], [0], [0], [0]]"
116,San Francisco,CA,United States,USA,"[CeusVgXYn4o,2pgrwrzzmJE,kvNemwOVsuY,EaDcy-8TTbI]","[[139, 4060], [26], [25], [25], [25], [25], [0], [52], [66], [0], [339], [6745], [8840], [395, 2485], [5], [136], [46, 500, 1185], [87, 2575], [528, 1513], [856], [22], [415, 1181], [26], [465], [33], [43], [0], [0], [0], [0], [0], [0], [0], [0], [33, 1360], [3208], [25], [60, 1556], [15], [0], [0], [17], [2630], [940], [2190]]","[[4061, 5532], [2863], [2048], [2046], [1843], [2393], [3367], [2679], [1475], [4368], [6895], [7645], [10125], [2215, 2980], [2795], [2520], [136, 995, 2574], [500, 3995], [1512, 4073], [2550], [1283], [1180, 3198], [3050], [2427], [4277], [1067], [659], [567], [3849], [817], [813], [729], [860], [1364], [610, 1906], [4535], [931], [1555, 4778], [1172], [2133], [2251], [562], [3164], [2375], [4365]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[29112023,16032024,23122023,17112023,18102023,15042023,27012024,10032024,8032024,13012019,8012025,17122023,5052024,5102024,28092024,22092024,15092024,12092024,8092024,5092024,17112022,26102021,23072020,17072020,10072020,3072020,27072017,24072017,8072017,30062017,17062017,30042017,27122016,18122016,25032023,5062023,1062023,13012022,8112021,13122020,5102020,14072025,10072025,5062025,2062025]","[[0, 1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [1], [0], [0], [0, 0], [0], [0], [0, 0, 0], [1, 1], [0, 1], [0], [0], [0, 1], [0], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0, 0], [0], [0], [0, 1], [0], [1], [0], [0], [0], [0], [0]]"
140,Dallas,TX,United States,USA,[_nK9pSe59G4],"[[25], [25], [25], [21], [28], [0], [0], [0], [0], [0], [12]]","[[2727], [2727], [2425], [4231], [4561], [367], [2424], [394], [1923], [1508], [2560]]","[0,0,0,0,0,0,0,0,0,0,0]","[4052022,13052022,14052022,28062019,9052019,9092016,28082016,22082016,21062021,21062021,18082025]","[[0], [0], [0], [0], [1], [0], [0], [0], [0], [1], [0]]"
514,Karachi,,Pakistan,PAK,"[nTykzoYA4sA,ZQImITN6PCA,nMog5aDtXNQ,OpHf7o8jzpc,YCSK58Mqxqs,f2dA3RBdIL0,1cdRRg--MgE,KHwKt5xMEWk,PqBwjpD7ES8,FA_KD1BH8as,qJmnJo_WXU4,st55gSrnlls,pqj0A30up2c,BYqCNFVsOoI,Lq5jHUXPnFU,32vy-AUhYGs,zB-kCzwE4J4,odmspbkoNDU,imAu10jX-Pg,cgaqDjaiuOs,rnRKYSdAVKE,Ap5Y1czO6EY,8TVPIFkv_SU,q6-7v631x7E,vy-0qV0o8Z0,XJzPp1X3PJM,BzuuTJYhNRI,mA9iFu8Hsg8,5-dwzXYEAao,-MtE5n7sv48,GLvTvBcRLGI,lYuvg0Cpg9E,5gU8mDN_MFw,2pNEPt4Fc-g,oGS3KK2LN1o,h_K_6ERVBZs,eKuyrAs2Q1o,eH2_dD8l4iA,7sRcY6gBC9M,yXcS6Kw4J6M,8EABTwVziO0,faySOYdaa_M,698BUnMcCss,_WnL4APabDE,sXbLDI0O3Dw,C54LWo1_YXw,jQ1K5xnvVTk,V5MLt7TfHnk,_7mcnRfDtzM,JI0tN-5-f2Y,qWaSQCoYChI,ZDgT54ktgxg,7gUpgMFX3qg,5mlF7Q1GQSQ,a2QnwL-EYfg,7QRcMm0cieI,jPZPBVoi_ZA,1p09Ci0UPL0,z4OXjICwOHg,KssiNxOp34I,1eq7_EFxcZQ,biMtK3QeefE,441ErWe8POA,BO1NQcscSAg,VChNjtuOsV8,Zm8TcyvJcF8,TI9iAJmUbMM,UQop3xeOef4,xpFgzc_sriY,4IQqIwBGS3M,k8-x37tzZDo,zf1RocJlkPg,msFGjz7D9SY,1l8I_yFmHY8,KElPUkHlqW8,BicFsauJ3aQ,pk7iMdFKp34,3p-EErj380Y,RYWCeUvGwxE,UlWxS0UOGKo,1V5agvXKMZ4,06-KCvCKfrE,rXi_0FuKQlk,qnnoCvNwgQw,rwhAi_qBmuo,4ClvnTIoEBU,VdF_r-VdPo0,3A8MxUhnhfM,vJ5P9hptAQY,15_9ytdBs4A,Gkk06AEuHfA,VMCNPut1m-M,YyUMP0dHFnA,-7-0UW-6qPE,5Lm2B1huGuw,DS4OOBHlkTI,6fziTK1vFH4,7zSZtbJWRGs,MroFEvpnZ0g,tKa2u-cwZdk,QoD50G70qCs,7piBbuWYnsM,6bp7jCm1j8s,fzgFpfFBEw4,cheloywBYNY]","[[5,955],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[955,1267],[3090],[2515],[2644],[2382],[1281],[2787],[1943],[2782],[2881],[3835],[5579],[4596],[5429],[4048],[3229],[3275],[4678],[1934],[3649],[2732],[3886],[4938],[4830],[4979],[4574],[3605],[2234],[2131],[2908],[3665],[1485],[2813],[1354],[2325],[1422],[3195],[1774],[1153],[3872],[5026],[3852],[4380],[579],[1160],[512],[743],[589],[539],[1383],[605],[1101],[1025],[669],[442],[582],[394],[1103],[555],[612],[485],[404],[420],[412],[452],[387],[475],[710],[316],[618],[361],[301],[487],[496],[1435],[315],[905],[986],[826],[2055],[1271],[343],[1350],[1065],[611],[650],[1025],[379],[472],[328],[1074],[825],[317],[1250],[769],[1214],[2186],[1893],[1231],[763],[1017],[1568],[2718],[805],[682],[528],[901],[1946],[484],[311],[417],[399],[435,458],[316],[1343],[750],[425],[1264],[342],[317],[644],[1437],[849],[1527],[1071],[428],[1107],[808],[575]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[22112021,7082025,5082025,2082025,30072025,28072025,26072025,24072025,22072025,20072025,19072025,18072025,15072025,12072025,11072025,3072025,2072025,30062025,27062025,24062025,22062025,20062025,18062025,17062025,12062025,3062025,30052025,27052025,23052025,21052025,19052025,15052025,13052025,25022025,21022025,10022025,4022025,2022025,10092024,17082024,11082024,24072024,22072024,7052023,6052023,7042023,26042023,27042023,28042023,3042023,1042023,25032023,26032023,27032023,28032023,21032023,19032023,18032023,16032023,17032023,15032023,14032023,11032023,8032023,9032023,9032023,10032023,7032023,7032023,5032023,4032023,3032023,23022023,25022023,20022023,19022023,18022023,15022023,15022023,16022023,17022023,14022023,11022023,8022023,24112022,12112022,12112022,19112022,9112022,8112022,7112022,6022023,6022023,5022023,4022023,1022023,1022023,2022023,3022023,31012023,30012023,30012023,29012023,26012023,27012023,28012023,28012023,25012023,22012023,21012023,18012023,19012023,20012023,15012023,14012023,10012023,11012023,12012023,12012023,9012023,7012023,6012023,2012023,3012023,4012023,5012023,29112022,27112022,28112022]","[[0,1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0]]"
1274,Tangier,,Morocco,MAR,"[OEYGffotNa0,qmLUL9mOdZk,xrNT-NhPacw]","[[222],[221],[14,3375],[364],[8],[3],[7868],[2,1146],[1],[3],[0],[116],[101,1626],[0],[0],[42],[27]]","[[1784],[1840],[2075,4458],[1864],[1210],[768],[10716],[1080,1438],[1053],[858],[1796],[1612],[1622,1730],[1102],[702],[942],[515]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[11092024,12092024,3112022,21022025,7112022,30072022,16012023,23012023,7112022,29072022,24052025,1062025,25052025,28072024,17072024,25052024,21052024]","[[0],[0],[0,1],[0],[1],[0],[0],[0,0],[0],[0],[0],[1],[0,0],[0],[0],[0],[0]]"
1425,Malibu,CA,United States,USA,[h-BuutxAhPY],"[[916],[16399],[650,3371,4708],[35],[1590],[4800],[100],[7680],[1198],[16408],[7],[33],[22],[23],[1161],[20,1071],[54],[0],[25]]","[[1700],[17615],[3370,4707,4910],[2409],[2930],[6285],[4620],[9415],[4330],[19000],[2445],[2970],[229],[2500],[2200],[1070,1725],[2349],[1915],[2176]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[22122023,7112022,6102022,17092022,28082022,22022025,30012025,25012025,5072023,19052025,25032024,4092023,8052021,25042021,8082020,24062020,17082018,27122022,4072022]","[[0],[0],[0,0,1],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,1],[0],[0],[0]]"
1493,Santa Cruz,CA,United States,USA,[CfhyoTB_KJE],"[[8060], [7645], [8], [8], [0], [0], [11], [2300]]","[[8574], [8284], [944], [537], [997], [576], [676], [2890]]","[0,0,0,0,0,0,0,0]","[22092024,23072020,31052021,6022021,17082020,7072025,3072025,30062025]","[[0], [0], [0], [0], [0], [0], [0], [0]]"
