id,city,city_aka,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
120,Chapel Hill,[],NC,United States,USA,North America,35.9131542,-79.05578,63.95,59568,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[37tgbFYzZao,me5LlPxF6Io,MjwVZI8QNvo]","[[0],[0],[0]]","[[0],[7],[0]]","[[2261],[2526],[2458]]","[0,0,0]","[14092020,2112023,20072023]","[UCandTI0BuPuH2nSi71V1G8Q,UCandTI0BuPuH2nSi71V1G8Q,UCandTI0BuPuH2nSi71V1G8Q]"
121,Outer Banks,[],NC,United States,USA,North America,35.5669037,-75.4688367,23360.935,57755,329484123,12.7,86.0,170.1,38.5,41.3,151.1,[OxpIXtk0C1I],[[0]],[[2629]],[[4500]],[0],[3062022],[UCandTI0BuPuH2nSi71V1G8Q]
122,Ottawa,[],ON,Canada,CAN,North America,45.4208777,-75.6901106,67.042,812129,38005238,5.3,99.0,171.7,42.4,31.7,139.4,"[GK1MGaCibBY,1mRRtsidJ-k,P1kSChfC0hU,B-Y012ZfBI8,hagsgZDX2yA,nDlX6llb-uE,ZYsYz92kujU,lfwfnoy3JwI,5OiIfLSqx_k,HJErKJDQP0E,DYMM-eoRD-Q,cE3MHK90k88,e-OwhIEt4dI,ikpnrNfa2IM,0QhdOIXn72E,Gmfidadvlbo]","[[0],[0],[0],[0],[0],[0],[0,1],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[25],[25],[25],[25],[23],[0],[0,4980],[0],[0],[0],[0],[30],[30],[30],[30],[30]]","[[2290],[2215],[2087],[2503],[1435],[535],[4979,6020],[1658],[5632],[1431],[1395],[3134],[2147],[2055],[2175],[2226]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12032024,7112023,3102023,30082023,25022022,11052022,18072020,15062024,8062024,1062024,8052025,23042024,23092023,14092023,14082023,4082023]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,None,UCXHynIfux7pAEwAa9epEDmQ,UCDRVUBQdPmoR5xQwVd3glBA,UCYCgXs1urpYw4llQtZAZfGA,UCYCgXs1urpYw4llQtZAZfGA,UCYCgXs1urpYw4llQtZAZfGA,UCOR2wrP04JavGjkmiG17ouQ,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA]"
123,Jacksonville,[],FL,United States,USA,North America,30.3321838,-81.655651,117.162,954614,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[mkrWyUFe6bI,3mcKGCE1coQ,VccbFxevwnw,4AurpF9lMD8,4-hzXmf4gms,LczkGWhne-I,4ZrJ6y2Oun4]","[[0],[0],[0],[0],[0],[0],[0]]","[[31],[25],[25],[30],[30],[5],[18]]","[[2111],[2443],[2228],[2220],[2224],[802],[2794]]","[0,0,0,0,0,0,0]","[6032024,5102023,31072023,9032024,17062023,14012021,22072022]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChv3DmLA2hH-d93bGgqjMLg,UCo9yDMRPdiVnJGjCwOOj5GQ]"
124,Montreal,[],QC,Canada,CAN,North America,45.5031824,-73.5698065,170.53,1762949,38005238,5.3,99.0,171.7,42.4,31.7,139.4,"[mhJaRDYV1Cg,sjxuc88IJd8,AxGSLbEQgeQ,GqJyOTr3iE0,8DIotaeYB_E,OMWYjKDXMqM,tpPPjtRzX2Q,isBSI7Ff_TA,2rKKF0VTnAY,5rULHMyfdbo,W_1rYs2muOU,h9X6-EpegEw,4uV_zgxfptg,sladblHpYPE,hyTPj3ZgaW8,IhQ6vMRmYoM,ZjJlvDbSL-A,eGBCkNMSQvA,x8dcDCuyxRU,sLi6f5SxqpQ,6tXW_1cBVt0,xr-0F2I61Eo,e4ZHUIc5Sb8,dE3hV1lVjq8,WSp8mceigBE,IeCk-M1ep8E,xkA5YBxQu-g,_Y2LpDoaIjs,6bPiekt6pfM,KPEs-_5_u2E,4HwZcI40itQ,QcyvXqu6WBc,4pnSDxaQLEc,8d1MEtaYlVA,DV6xQFhBaic,tQSLQV_6RMY,lifX5jQgtTE,0Q6bUfy6eVU,Gz_xHb86gE0,8Bbghj92tew,aFnueTgXq0s,NKa4d4Yh8mA,ixtr3QdHaSE,tpb5H-yXK0c,e4NvpL1JJ08,yxOKbdzDFg0,FaQJwEIQIr0,GvNJ1F467O4,CPN1_66mbYA,lki3HodGIw4,xmbIRdX2S_M,0AQehtw6PeI,mFI2lcnAVKw,ipvOfERh9yY,Oh2zWHQqjus,ErHMhiKgx94,9KSRZabyDyk,2jpyhvycFQw,Xf5_YSw35lk,tQtUvSZiZGg,CUhA6bPm1v0,xne9fgFJKPg,rYMn0z_-BaA,KS7JbvlKeN8]","[[0],[0],[0],[0],[0],[0],[0],[1,1,1],[0],[0,0,0],[0],[0],[0],[0,1],[0],[0],[0],[0],[0],[0],[1],[1],[0],[0],[0,0,0],[0,0,0],[0],[0],[0],[0],[0,0],[0],[0,0],[0],[0,0,0,0],[0,0],[0],[0],[0],[0],[0],[0],[0,1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[25],[25],[25],[25],[25],[25],[0],[0,955,1800],[0],[0,1160,1424],[0],[0],[990],[12,558],[0],[19],[0],[0],[0],[0],[0],[0],[17],[0],[5,352,1120],[0,415,1463],[0],[155],[82],[305],[0,2050],[0],[45,483],[0],[0,1650,2293,3065],[190,1317],[57],[23],[0],[10],[10],[0],[0,1395],[0],[0],[10],[0],[75],[0],[0],[0],[0],[0],[0],[25],[0],[0],[0],[30],[30],[30],[30],[30],[30]]","[[2449],[2478],[2185],[2413],[2366],[2294],[2918],[519,1725,2398],[1582],[920,1220,1659],[2156],[2829],[1392],[557,2279],[1691],[3225],[1711],[648],[668],[2201],[3386],[2789],[2530],[972],[55,670,1404],[300,925,1824],[1464],[1709],[1588],[819],[630,2224],[1393],[175,997],[4286],[1210,2130,2497,4245],[735,2283],[1193],[2996],[6494],[1612],[1847],[327],[1224,2593],[2485],[4025],[900],[2136],[794],[1299],[2439],[3187],[2503],[2206],[1553],[2467],[670],[4388],[1831],[1935],[2378],[2352],[2299],[2207],[2240]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[16022024,28112023,21102023,13102023,19092023,9092023,11022018,16052023,7112021,29052020,19092021,21112022,19112021,8112019,16052021,19072019,2052020,3052020,24052020,26052021,13012021,23082020,27072019,10072023,20112022,9082021,10072019,3082022,30112021,27092023,22082021,3112021,5072022,23052021,1072019,29092021,20062018,11092023,3102019,24092022,18092022,14112021,1112024,31102024,10112023,31072023,30072023,29072023,26072023,25072023,24072023,22072023,4072023,3072023,1072023,1072023,24052024,24042014,7052024,24102023,22082023,8082023,30072023,22072023]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UCBcVQr-07MH-p9e2kRTdB3A,UCI046CoYUYZY9DpS_4z_pvA,UCI046CoYUYZY9DpS_4z_pvA,UCJ7QjqsmsPmhVGW31oysSuA,UCinMNNwGi3e1MYr6T7LvpMQ,UC2NEkXsVZ1vyaxYMjEE2K3A,UCCDmb6Zxm0itdfjkcXIIwTQ,UCqkS7xyIlwNPhbHn_gMlTFw,UCAmj2-19cCkdie6gQEeLC-A,UCHQoyepeFvEnnaPXXPkAlDA,UCHQoyepeFvEnnaPXXPkAlDA,UCHQoyepeFvEnnaPXXPkAlDA,UCHQoyepeFvEnnaPXXPkAlDA,UCAmj2-19cCkdie6gQEeLC-A,UCIyDYseHx08zoP0ODFBi2iQ,UCHQoyepeFvEnnaPXXPkAlDA,UCHQoyepeFvEnnaPXXPkAlDA,None,UCqoQFFBhzqWUP9abVnWGmaw,UCI046CoYUYZY9DpS_4z_pvA,UCmkcwJbrdnj_epD-LnahtvA,UC0xzhiSf852zu07cmhglORA,UCCDmb6Zxm0itdfjkcXIIwTQ,UCCDmb6Zxm0itdfjkcXIIwTQ,UCI046CoYUYZY9DpS_4z_pvA,UCCDmb6Zxm0itdfjkcXIIwTQ,UCPHh2gVVkqAw6W8W9ybc5Ww,UCI046CoYUYZY9DpS_4z_pvA,UChRCcRvtawVV-QoZhtZ4Lgw,UCI046CoYUYZY9DpS_4z_pvA,UCpyN5z5ZNDb8LJ83gsn-loA,UCk0xpfrrpSZJF1qJtIun4hg,UChRCcRvtawVV-QoZhtZ4Lgw,UCIStmb2WWwUe9cgfs1W-BUw,UCIStmb2WWwUe9cgfs1W-BUw,UCTjaliDM1eRFi2FrHYyL3wg,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UCAbh2jQVqARmWPklhwEdu9A,UC5dDCulBRmTSlhBqGnf-_bA,UCOZvHgMQmdMaRfpLI6ebt8Q,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA]"
125,Tampa,[],FL,United States,USA,North America,27.9477595,-82.458444,219.414,384959,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[UOUAV1lLKrA,N_PeKyBTLZw,48mdEeyUzdQ,u48Gn1ryJF0,sa38h5gk4Sc,26_9x6sEj2Y,PFAhg0rnBhc,RCgL4YIE5hs,utuRIdopieI,zuEgNZDEWtA,FcEuH_924HQ,nI06qPA9mNI,Yd-bTYmzQjA]","[[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0]]","[[25],[25],[25],[25],[25],[21],[59],[0],[248],[0],[59],[23],[54]]","[[2195],[2160],[2517],[2367],[2176],[2713],[3698],[1954],[2572],[2409],[3701],[2406],[3858]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[20012024,27102023,2092023,6082023,26052023,25032021,8082018,4102015,22072021,6102021,28032020,23012022,5062021]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCo83OnV1SoOZHPQd1UNMx-g,UC-IQ-I4W1gO7mzLpkNP8hcw,UCQPt7Rr0fhB3yc4n3vNLyaA,UCOmqossIgk3oiZEdgdIVyaw,UChcPPozD-LOPyLt3La41yCA]"
126,Orlando,[],FL,United States,USA,North America,28.5421109,-81.3790304,194.472,307573,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[dwWjd-1Mefo,qAxg8r6aDlI,e-OwhIEt4dI,fMljMeFKybA,5vUF7hbhiAs,88rw0BL8kag,hk6cXlYOhIs,bR8dRNX36tk,jGSU81zrNbA,2dKSXyy7M3M,Kqfca8Tnjco,KCcO_8-8jDc,lr9tZ44-9Os,hyW1pX_AAHg,ACiB6J2nqRY,JdNR6lmbB78,DcvQS-5w6d4,nXtXImIo9RE,eLnEDi7IWyQ,STOnXBTLl7o,wpEE_ap7Dhs,q6wYuFnM-Q4,32k4eFsqgeg,p0uLgCg8er0,VhlB258AzbA,iN9ZfoLNgJQ,01PkmbGK2sI,Tmh9IeHT2-A,CE3ZoKtVOG8,e7zrSGobKLA]","[[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[25],[25],[25],[25],[22],[12],[10],[0],[28],[0],[0],[30],[30],[30],[30],[30],[30],[30],[30],[30],[30],[66],[5],[18],[19],[17],[71],[17],[30],[13]]","[[2214],[2073],[2177],[2606],[1980],[1179],[2881],[2083],[3360],[2181],[1025],[2680],[2685],[2234],[2307],[2222],[1984],[1948],[2134],[2183],[2139],[3370],[1979],[2685],[2205],[1977],[2695],[2149],[2561],[2532]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[5122023,21092023,23092023,13082023,23032021,22102018,22092018,20092015,30042024,16122020,8102021,7122024,28092024,13082024,1082024,25062024,28052024,20072023,1072023,10062023,20052023,20062021,13052021,9112024,24082024,22062024,8062024,11052024,19022026,18072022]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A,UCSYUlIhGMCdM-oHxwvbhhLg,UC7hi9CSNq_IUUbEN_ri3ogQ,UC-IQ-I4W1gO7mzLpkNP8hcw,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChv3DmLA2hH-d93bGgqjMLg,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UCsYwtnYBrMDituD9n8vyKJQ,UCo9yDMRPdiVnJGjCwOOj5GQ]"
127,St. Augustine,[St Augustine],FL,United States,USA,North America,29.8946952,-81.3145395,23360.935,12975,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[N0RR1sGk9sQ,YaZIsZnUvTk,ree1tjgPRK4,EKydH1zHGUc,qE8XxnVAohQ,HZ4MYcwq2HU,r_zcWOkeBuY,UXSf1My4EW8,4lTbZxIWi74,tg_b4xtSRuQ,JcsOAe-SvS4,9Su2PdA8FjI]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,1]]","[[25],[25],[25],[25],[0],[115],[30],[19],[18],[18],[17],[17,604]]","[[2127],[1918],[1922],[2099],[1334],[1470],[2825],[832],[824],[2799],[2771],[603,1161]]","[0,0,0,0,0,0,0,0,0,0,0,0]","[21112023,28092023,28072023,24062023,11102015,16112023,10072024,15122024,27102024,27042024,1072023,3062023]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UCBcVQr-07MH-p9e2kRTdB3A,UCDJ4XPCLkorY1ngm8-B9hHA,UChcPPozD-LOPyLt3La41yCA,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw,UC7vlbxrPUojPngACLxdz_dw]"
128,Savannah,[],GA,United States,USA,North America,32.0790074,-81.0921335,29.452,147780,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[imlVO9WOjs4,Et3Pgx8-A5w,BaAsrQKRCVI,_aroH0skQ-M,-uCEhi0nY14,QkkuFCX_9B0,bUEDIw6L874,xNFMgZavQ74,cElhu84FuRc]","[[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[25],[25],[25],[0],[215],[30],[0],[49],[34]]","[[2320],[2068],[2209],[1940],[2050],[2220],[371],[3298],[2272]]","[0,0,0,0,0,0,0,0,0]","[10102023,29082023,23072023,27092015,7092023,14062023,17122017,15012026,28072022]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UCBcVQr-07MH-p9e2kRTdB3A,UCDJ4XPCLkorY1ngm8-B9hHA,UChcPPozD-LOPyLt3La41yCA,UCJGq94Rm93EDe1OZ1SF5ExA,UCsYwtnYBrMDituD9n8vyKJQ,UCo9yDMRPdiVnJGjCwOOj5GQ]"
129,Arlington,[],TX,United States,USA,North America,32.7355816,-97.1071186,660.626,207627,329484123,12.7,86.0,170.1,38.5,41.3,151.1,"[aR415amrsc8,KDznomSoIbQ,xV9Pz7nX1Wk]","[[0],[0],[0]]","[[25],[25],[8]]","[[2073],[2169],[764]]","[0,0,0]","[25082023,10082023,26092024]","[UChcPPozD-LOPyLt3La41yCA,UChcPPozD-LOPyLt3La41yCA,UChv3DmLA2hH-d93bGgqjMLg]"
